F = 0.0001; Nimp = 100; Range: [1.0, 3.0]
i = 1.0, C = 283.0602538242425, a = 11.896643514543136, m = 199.0, p = 99.0, r = 7.071067811865475, D = 0.719070453612502
i = 1.02, C = 288.7214589007274, a = 12.015020992506159, m = 199.0, p = 99.0, r = 7.212489168102784, D = 0.696838348508233
i = 1.04, C = 294.38266397721225, a = 12.132243485382501, m = 199.0, p = 99.0, r = 7.353910524340094, D = 0.6754199477581713
i = 1.06, C = 300.0438690536971, a = 12.248344154490784, m = 199.0, p = 99.0, r = 7.495331880577404, D = 0.65495358623163
i = 1.08, C = 305.70507413018197, a = 12.363354604034091, m = 199.0, p = 99.0, r = 7.636753236814713, D = 0.6355468121472084
i = 1.1, C = 311.3662792066668, a = 12.47730498157889, m = 199.0, p = 99.0, r = 7.7781745930520225, D = 0.6172794818929166
i = 1.12, C = 317.02748428315164, a = 12.590224070348224, m = 199.0, p = 99.0, r = 7.919595949289333, D = 0.6002072268174801
i = 1.1400000000000001, C = 322.6886893596365, a = 12.702139374129787, m = 199.0, p = 99.0, r = 8.061017305526642, D = 0.5843650176719102
i = 1.1600000000000001, C = 328.34989443612136, a = 12.813077195508528, m = 199.0, p = 99.0, r = 8.202438661763951, D = 0.569770628762985
i = 1.1800000000000002, C = 334.0110995126062, a = 12.923062708054276, m = 199.0, p = 99.0, r = 8.34386001800126, D = 0.5564278692845992
i = 1.2000000000000002, C = 339.6723045890911, a = 13.03212002302563, m = 199.0, p = 99.0, r = 8.485281374238571, D = 0.5443295021153893
i = 1.2200000000000002, C = 345.33350966557595, a = 13.140272251090842, m = 199.0, p = 99.0, r = 8.62670273047588, D = 0.5334598108581834
i = 1.2400000000000002, C = 350.9947147420608, a = 13.247541559513238, m = 199.0, p = 99.0, r = 8.76812408671319, D = 0.5237968053501495
i = 1.2600000000000002, C = 356.65591981854567, a = 13.35394922520199, m = 199.0, p = 99.0, r = 8.909545442950499, D = 0.5153140760735441
i = 1.2800000000000002, C = 362.3171248950305, a = 13.459515683987862, m = 199.0, p = 99.0, r = 9.05096679918781, D = 0.5079823207308745
i = 1.3000000000000003, C = 367.97832997151534, a = 13.564260576447124, m = 199.0, p = 99.0, r = 9.19238815542512, D = 0.5017705734792047
i = 1.3200000000000003, C = 373.6395350480002, a = 13.66820279056468, m = 199.0, p = 99.0, r = 9.333809511662428, D = 0.49664717047727286
i = 1.3400000000000003, C = 379.30074012448506, a = 13.771360501498846, m = 199.0, p = 99.0, r = 9.475230867899738, D = 0.4925804857412451
i = 1.3600000000000003, C = 384.9619452009699, a = 13.873751208684872, m = 199.0, p = 99.0, r = 9.616652224137049, D = 0.48953946981752117
i = 1.3800000000000003, C = 390.6231502774548, a = 13.97539177049171, m = 199.0, p = 99.0, r = 9.758073580374358, D = 0.48749402120706387
i = 1.4000000000000004, C = 396.28435535393965, a = 14.076298436626365, m = 199.0, p = 99.0, r = 9.899494936611667, D = 0.4864152173580242
i = 1.4200000000000004, C = 401.9455604304245, a = 14.176486878462246, m = 199.0, p = 99.0, r = 10.040916292848976, D = 0.48627542875665175
i = 1.4400000000000004, C = 407.60676550690937, a = 14.275972217451766, m = 199.0, p = 99.0, r = 10.182337649086286, D = 0.48704833644571593
i = 1.4600000000000004, C = 413.2679705833942, a = 14.374769051769043, m = 199.0, p = 99.0, r = 10.323759005323597, D = 0.4887088703376314
i = 1.4800000000000004, C = 418.92917565987904, a = 14.472891481315663, m = 199.0, p = 99.0, r = 10.465180361560906, D = 0.49123308305880287
i = 1.5000000000000004, C = 424.5903807363639, a = 14.570353131210718, m = 199.0, p = 99.0, r = 10.606601717798215, D = 0.49459797180008475
i = 1.5200000000000005, C = 430.25158581284876, a = 14.667167173875955, m = 199.0, p = 99.0, r = 10.748023074035524, D = 0.49878125876581086
i = 1.5400000000000005, C = 435.9127908893336, a = 14.763346349817402, m = 199.0, p = 99.0, r = 10.889444430272835, D = 0.5037611392962643
i = 1.5600000000000005, C = 441.5739959658185, a = 14.858902987196236, m = 199.0, p = 99.0, r = 11.030865786510144, D = 0.5095160055616531
i = 1.5800000000000005, C = 447.23520104230334, a = 14.953849020274067, m = 199.0, p = 99.0, r = 11.172287142747454, D = 0.5160241528521332
i = 1.6000000000000005, C = 452.8964061187882, a = 15.04819600681072, m = 199.0, p = 99.0, r = 11.313708498984765, D = 0.5232634748845947
i = 1.6200000000000006, C = 458.55761119527307, a = 15.141955144486346, m = 199.0, p = 99.0, r = 11.455129855222074, D = 0.5312111541674249
i = 1.6400000000000006, C = 464.2188162717579, a = 15.235137286413895, m = 199.0, p = 99.0, r = 11.596551211459383, D = 0.5398433532720875
i = 1.6600000000000006, C = 469.88002134824274, a = 15.327752955802797, m = 199.0, p = 99.0, r = 11.737972567696692, D = 0.5491349128109679
i = 1.6800000000000006, C = 475.5412264247276, a = 15.419812359829928, m = 199.0, p = 99.0, r = 11.879393923934, D = 0.5590590619732215
i = 1.7000000000000006, C = 481.20243150121246, a = 15.511325402769623, m = 199.0, p = 99.0, r = 12.020815280171313, D = 0.5695871475840482
i = 1.7200000000000006, C = 486.8636365776973, a = 15.602301698430544, m = 199.0, p = 99.0, r = 12.162236636408622, D = 0.5806883877839107
i = 1.7400000000000007, C = 492.5248416541822, a = 15.692750581943598, m = 199.0, p = 99.0, r = 12.30365799264593, D = 0.5923296565342847
i = 1.7600000000000007, C = 498.18604673066704, a = 15.782681120941826, m = 199.0, p = 99.0, r = 12.445079348883242, D = 0.6044753052027437
i = 1.7800000000000007, C = 503.8472518071519, a = 15.87210212617018, m = 199.0, p = 99.0, r = 12.586500705120551, D = 0.6170870274260717
i = 1.8000000000000007, C = 509.50845688363677, a = 15.96102216156028, m = 199.0, p = 99.0, r = 12.727922061357859, D = 0.6301237732567122
i = 1.8200000000000007, C = 515.1696619601216, a = 16.0494495538028, m = 199.0, p = 99.0, r = 12.869343417595168, D = 0.6435417182346909
i = 1.8400000000000007, C = 520.8308670366065, a = 16.13739240144774, m = 199.0, p = 99.0, r = 13.010764773832477, D = 0.6572942924639298
i = 1.8600000000000008, C = 526.4920721130914, a = 16.224858583560774, m = 199.0, p = 99.0, r = 13.152186130069788, D = 0.6713322739890114
i = 1.8800000000000008, C = 532.1532771895762, a = 16.311855767961784, m = 199.0, p = 99.0, r = 13.293607486307097, D = 0.6856039497519877
i = 1.9000000000000008, C = 537.814482266061, a = 16.39839141907006, m = 199.0, p = 99.0, r = 13.435028842544407, D = 0.7000553461542034
i = 1.9200000000000008, C = 543.4756873425458, a = 16.48447280537879, m = 199.0, p = 99.0, r = 13.57645019878172, D = 0.714630529766744
i = 1.9400000000000008, C = 549.1368924190307, a = 16.570107006580113, m = 199.0, p = 99.0, r = 13.717871555019027, D = 0.7292719770415031
i = 1.9600000000000009, C = 554.7980974955155, a = 16.655300920360393, m = 199.0, p = 99.0, r = 13.859292911256336, D = 0.7439210100111201
i = 1.9800000000000009, C = 560.4593025720004, a = 16.7400612688843, m = 199.0, p = 99.0, r = 14.000714267493645, D = 0.7585182929749289
i = 2.000000000000001, C = 566.1205076484853, a = 16.82439460498483, m = 199.0, p = 99.0, r = 14.142135623730955, D = 0.7730043831140242
i = 2.020000000000001, C = 571.7817127249701, a = 16.908307318075487, m = 199.0, p = 99.0, r = 14.283556979968266, D = 0.7873203259309026
i = 2.040000000000001, C = 577.442917801455, a = 16.991805639799658, m = 199.0, p = 99.0, r = 14.424978336205575, D = 0.8014082844541296
i = 2.060000000000001, C = 583.1041228779399, a = 17.074895649431358, m = 199.0, p = 99.0, r = 14.566399692442884, D = 0.8152121893729096
i = 2.080000000000001, C = 588.7653279544247, a = 17.157583279040566, m = 199.0, p = 99.0, r = 14.707821048680195, D = 0.8286783957633211
i = 2.100000000000001, C = 594.4265330309096, a = 17.239874318435582, m = 199.0, p = 99.0, r = 14.849242404917504, D = 0.8417563309262005
i = 2.120000000000001, C = 600.0877381073944, a = 17.32177441989409, m = 199.0, p = 99.0, r = 14.990663761154813, D = 0.8543991171594865
i = 2.140000000000001, C = 605.7489431838793, a = 17.40328910269377, m = 199.0, p = 99.0, r = 15.132085117392123, D = 0.8665641531035525
i = 2.160000000000001, C = 611.4101482603642, a = 17.484423757452863, m = 199.0, p = 99.0, r = 15.273506473629432, D = 0.8782136376789031
i = 2.180000000000001, C = 617.071353336849, a = 17.565183650290265, m = 199.0, p = 99.0, r = 15.414927829866743, D = 0.889315021610034
i = 2.200000000000001, C = 622.7325584133339, a = 17.64557392681425, m = 199.0, p = 99.0, r = 15.556349186104052, D = 0.8998413730982708
i = 2.220000000000001, C = 628.3937634898188, a = 17.72559961594838, m = 199.0, p = 99.0, r = 15.697770542341361, D = 0.9097716463432187
i = 2.240000000000001, C = 634.0549685663036, a = 17.805265633602655, m = 199.0, p = 99.0, r = 15.839191898578672, D = 0.9190908442582311
i = 2.260000000000001, C = 639.7161736427884, a = 17.884576786197492, m = 199.0, p = 99.0, r = 15.980613254815982, D = 0.9277900697924654
i = 2.280000000000001, C = 645.3773787192732, a = 17.963537774047644, m = 199.0, p = 99.0, r = 16.12203461105329, D = 0.9358664636468598
i = 2.300000000000001, C = 651.0385837957581, a = 18.04215319461286, m = 199.0, p = 99.0, r = 16.2634559672906, D = 0.9433230297168629
