F = 0.0001; Nimp = 1000; Range: [0.5, 1.0]
i = 0.5, C = 1121.9041774983384, a = 23.68442713576094, m = 1999.0, p = 999.0, r = 11.180339887498947, D = -inf
i = 0.505, C = 1133.1232192733219, a = 23.802554687189797, m = 1999.0, p = 999.0, r = 11.292143286373937, D = -inf
i = 0.51, C = 1144.342261048305, a = 23.920098881989443, m = 1999.0, p = 999.0, r = 11.403946685248927, D = -inf
i = 0.515, C = 1155.5613028232885, a = 24.037068278216548, m = 1999.0, p = 999.0, r = 11.515750084123916, D = -inf
i = 0.52, C = 1166.780344598272, a = 24.1534712267023, m = 1999.0, p = 999.0, r = 11.627553482998906, D = -inf
i = 0.525, C = 1177.9993863732554, a = 24.269315878009987, m = 1999.0, p = 999.0, r = 11.739356881873894, D = -inf
i = 0.53, C = 1189.2184281482387, a = 24.384610189095074, m = 1999.0, p = 999.0, r = 11.851160280748884, D = -inf
i = 0.535, C = 1200.4374699232221, a = 24.49936192968321, m = 1999.0, p = 999.0, r = 11.962963679623876, D = -inf
i = 0.54, C = 1211.6565116982056, a = 24.61357868838058, m = 1999.0, p = 999.0, r = 12.074767078498864, D = -inf
i = 0.545, C = 1222.875553473189, a = 24.727267878530263, m = 1999.0, p = 999.0, r = 12.186570477373854, D = -inf
i = 0.55, C = 1234.0945952481723, a = 24.840436743827315, m = 1999.0, p = 999.0, r = 12.298373876248844, D = -inf
i = 0.555, C = 1245.3136370231557, a = 24.9530923637047, m = 1999.0, p = 999.0, r = 12.410177275123832, D = -inf
i = 0.56, C = 1256.5326787981392, a = 25.06524165850131, m = 1999.0, p = 999.0, r = 12.521980673998822, D = -inf
i = 0.5650000000000001, C = 1267.7517205731226, a = 25.17689139442281, m = 1999.0, p = 999.0, r = 12.633784072873814, D = -inf
i = 0.5700000000000001, C = 1278.9707623481058, a = 25.28804818830534, m = 1999.0, p = 999.0, r = 12.745587471748802, D = -inf
i = 0.5750000000000001, C = 1290.1898041230893, a = 25.398718512191607, m = 1999.0, p = 999.0, r = 12.857390870623792, D = -inf
i = 0.5800000000000001, C = 1301.4088458980727, a = 25.50890869772826, m = 1999.0, p = 999.0, r = 12.96919426949878, D = -inf
i = 0.5850000000000001, C = 1312.6278876730562, a = 25.618624940393037, m = 1999.0, p = 999.0, r = 13.08099766837377, D = -inf
i = 0.5900000000000001, C = 1323.8469294480394, a = 25.727873303559697, m = 1999.0, p = 999.0, r = 13.192801067248759, D = -inf
i = 0.5950000000000001, C = 1335.0659712230229, a = 25.836659722408225, m = 1999.0, p = 999.0, r = 13.304604466123749, D = -inf
i = 0.6000000000000001, C = 1346.2850129980063, a = 25.94499000768748, m = 1999.0, p = 999.0, r = 13.41640786499874, D = -inf
i = 0.6050000000000001, C = 1357.5040547729898, a = 26.05286984933704, m = 1999.0, p = 999.0, r = 13.528211263873729, D = -inf
i = 0.6100000000000001, C = 1368.723096547973, a = 26.160304819974606, m = 1999.0, p = 999.0, r = 13.640014662748719, D = -inf
i = 0.6150000000000001, C = 1379.9421383229565, a = 26.267300378255058, m = 1999.0, p = 999.0, r = 13.751818061623707, D = -inf
i = 0.6200000000000001, C = 1391.16118009794, a = 26.373861872106822, m = 1999.0, p = 999.0, r = 13.863621460498697, D = -inf
i = 0.6250000000000001, C = 1402.3802218729234, a = 26.479994541851056, m = 1999.0, p = 999.0, r = 13.975424859373685, D = -inf
i = 0.6300000000000001, C = 1413.5992636479066, a = 26.585703523208736, m = 1999.0, p = 999.0, r = 14.087228258248677, D = -inf
i = 0.6350000000000001, C = 1424.81830542289, a = 26.690993850200577, m = 1999.0, p = 999.0, r = 14.199031657123667, D = -inf
i = 0.6400000000000001, C = 1436.0373471978735, a = 26.79587045794439, m = 1999.0, p = 999.0, r = 14.310835055998655, D = -inf
i = 0.6450000000000001, C = 1447.256388972857, a = 26.900338185354258, m = 1999.0, p = 999.0, r = 14.422638454873645, D = -inf
i = 0.6500000000000001, C = 1458.4754307478402, a = 27.00440177774579, m = 1999.0, p = 999.0, r = 14.534441853748634, D = -inf
i = 0.6550000000000001, C = 1469.6944725228236, a = 27.108065889351305, m = 1999.0, p = 999.0, r = 14.646245252623624, D = -inf
i = 0.6600000000000001, C = 1480.913514297807, a = 27.211335085748797, m = 1999.0, p = 999.0, r = 14.758048651498612, D = -inf
i = 0.6650000000000001, C = 1492.1325560727905, a = 27.314213846208265, m = 1999.0, p = 999.0, r = 14.869852050373604, D = -inf
i = 0.6700000000000002, C = 1503.3515978477737, a = 27.416706565958773, m = 1999.0, p = 999.0, r = 14.981655449248594, D = -inf
i = 0.6750000000000002, C = 1514.5706396227572, a = 27.51881755837955, m = 1999.0, p = 999.0, r = 15.093458848123582, D = -inf
i = 0.6800000000000002, C = 1525.7896813977407, a = 27.620551057118146, m = 1999.0, p = 999.0, r = 15.205262246998572, D = -inf
i = 0.6850000000000002, C = 1537.008723172724, a = 27.721911218138658, m = 1999.0, p = 999.0, r = 15.31706564587356, D = -inf
i = 0.6900000000000002, C = 1548.2277649477073, a = 27.82290212170279, m = 1999.0, p = 999.0, r = 15.42886904474855, D = -inf
i = 0.6950000000000002, C = 1559.4468067226908, a = 27.923527774286423, m = 1999.0, p = 999.0, r = 15.540672443623542, D = -inf
i = 0.7000000000000002, C = 1570.6658484976742, a = 28.023792110434254, m = 1999.0, p = 999.0, r = 15.65247584249853, D = -inf
i = 0.7050000000000002, C = 1581.8848902726575, a = 28.123698994554907, m = 1999.0, p = 999.0, r = 15.76427924137352, D = -inf
i = 0.7100000000000002, C = 1593.103932047641, a = 28.2232522226589, m = 1999.0, p = 999.0, r = 15.87608264024851, D = -inf
i = 0.7150000000000002, C = 1604.3229738226244, a = 28.32245552404156, m = 1999.0, p = 999.0, r = 15.987886039123499, D = -inf
i = 0.7200000000000002, C = 1615.5420155976078, a = 28.421312562913133, m = 1999.0, p = 999.0, r = 16.09968943799849, D = -inf
i = 0.7250000000000002, C = 1626.761057372591, a = 28.51982693997801, m = 1999.0, p = 999.0, r = 16.21149283687348, D = -inf
i = 0.7300000000000002, C = 1637.9800991475745, a = 28.61800219396503, m = 1999.0, p = 999.0, r = 16.32329623574847, D = -inf
i = 0.7350000000000002, C = 1649.199140922558, a = 28.71584180311068, m = 1999.0, p = 999.0, r = 16.43509963462346, D = -inf
i = 0.7400000000000002, C = 1660.4181826975414, a = 28.813349186597012, m = 1999.0, p = 999.0, r = 16.54690303349845, D = -inf
i = 0.7450000000000002, C = 1671.6372244725246, a = 28.910527705945846, m = 1999.0, p = 999.0, r = 16.658706432373435, D = -inf
i = 0.7500000000000002, C = 1682.856266247508, a = 29.007380666371, m = 1999.0, p = 999.0, r = 16.770509831248425, D = -inf
i = 0.7550000000000002, C = 1694.0753080224915, a = 29.103911318089974, m = 1999.0, p = 999.0, r = 16.882313230123415, D = -inf
i = 0.7600000000000002, C = 1705.294349797475, a = 29.200122857596636, m = 1999.0, p = 999.0, r = 16.994116628998405, D = -inf
i = 0.7650000000000002, C = 1716.5133915724582, a = 29.296018428896257, m = 1999.0, p = 999.0, r = 17.105920027873395, D = -inf
i = 0.7700000000000002, C = 1727.7324333474417, a = 29.39160112470433, m = 1999.0, p = 999.0, r = 17.217723426748385, D = -inf
i = 0.7750000000000002, C = 1738.951475122425, a = 29.486873987610362, m = 1999.0, p = 999.0, r = 17.329526825623375, D = -inf
i = 0.7800000000000002, C = 1750.1705168974086, a = 29.581840011207962, m = 1999.0, p = 999.0, r = 17.441330224498362, D = -inf
i = 0.7850000000000003, C = 1761.3895586723918, a = 29.67650214119238, m = 1999.0, p = 999.0, r = 17.553133623373352, D = -inf
i = 0.7900000000000003, C = 1772.6086004473752, a = 29.770863276426628, m = 1999.0, p = 999.0, r = 17.664937022248342, D = -inf
i = 0.7950000000000003, C = 1783.8276422223587, a = 29.864926269977286, m = 1999.0, p = 999.0, r = 17.776740421123332, D = -inf
i = 0.8000000000000003, C = 1795.0466839973421, a = 29.958693930121036, m = 1999.0, p = 999.0, r = 17.888543819998322, D = -inf
i = 0.8050000000000003, C = 1806.2657257723254, a = 30.05216902132295, m = 1999.0, p = 999.0, r = 18.000347218873312, D = -inf
i = 0.8100000000000003, C = 1817.4847675473088, a = 30.145354265187436, m = 1999.0, p = 999.0, r = 18.112150617748302, D = -inf
i = 0.8150000000000003, C = 1828.7038093222923, a = 30.23825234138286, m = 1999.0, p = 999.0, r = 18.22395401662329, D = -inf
i = 0.8200000000000003, C = 1839.9228510972757, a = 30.330865888540636, m = 1999.0, p = 999.0, r = 18.33575741549828, D = -inf
i = 0.8250000000000003, C = 1851.141892872259, a = 30.423197505129693, m = 1999.0, p = 999.0, r = 18.447560814373272, D = -inf
i = 0.8300000000000003, C = 1862.3609346472424, a = 30.51524975030716, m = 1999.0, p = 999.0, r = 18.55936421324826, D = -inf
i = 0.8350000000000003, C = 1873.5799764222259, a = 30.607025144745982, m = 1999.0, p = 999.0, r = 18.67116761212325, D = -inf
i = 0.8400000000000003, C = 1884.7990181972093, a = 30.698526171440292, m = 1999.0, p = 999.0, r = 18.78297101099824, D = -inf
i = 0.8450000000000003, C = 1896.0180599721925, a = 30.789755276489227, m = 1999.0, p = 999.0, r = 18.89477440987323, D = -inf
i = 0.8500000000000003, C = 1907.237101747176, a = 30.880714869859926, m = 1999.0, p = 999.0, r = 19.006577808748215, D = -inf
i = 0.8550000000000003, C = 1918.4561435221594, a = 30.971407326130333, m = 1999.0, p = 999.0, r = 19.118381207623205, D = -inf
i = 0.8600000000000003, C = 1929.675185297143, a = 31.061834985212503, m = 1999.0, p = 999.0, r = 19.2301846064982, D = -inf
i = 0.8650000000000003, C = 1940.8942270721261, a = 31.152000153056996, m = 1999.0, p = 999.0, r = 19.341988005373185, D = -inf
i = 0.8700000000000003, C = 1952.1132688471096, a = 31.241905102338986, m = 1999.0, p = 999.0, r = 19.453791404248175, D = -inf
i = 0.8750000000000003, C = 1963.332310622093, a = 31.331552073126645, m = 1999.0, p = 999.0, r = 19.565594803123165, D = -inf
i = 0.8800000000000003, C = 1974.5513523970765, a = 31.420943273532355, m = 1999.0, p = 999.0, r = 19.677398201998155, D = -inf
i = 0.8850000000000003, C = 1985.7703941720597, a = 31.51008088034732, m = 1999.0, p = 999.0, r = 19.789201600873145, D = -inf
i = 0.8900000000000003, C = 1996.9894359470431, a = 31.59896703966004, m = 1999.0, p = 999.0, r = 19.901004999748135, D = -inf
i = 0.8950000000000004, C = 2008.2084777220266, a = 31.68760386745917, m = 1999.0, p = 999.0, r = 20.012808398623125, D = -inf
i = 0.9000000000000004, C = 2019.42751949701, a = 31.775993450221268, m = 1999.0, p = 999.0, r = 20.124611797498115, D = -inf
