F = 1e-07; Nimp = 1000; Range: [0.5, 1.0]
i = 0.5, C = 1173.1838237394925, a = 24.2196596150678, m = 1999.0, p = 999.0, r = 11.180339887498947, D = -inf
i = 0.505, C = 1184.9156619768873, a = 24.340456671731605, m = 1999.0, p = 999.0, r = 11.292143286373937, D = -inf
i = 0.51, C = 1196.6475002142824, a = 24.460657188782587, m = 1999.0, p = 999.0, r = 11.403946685248927, D = -inf
i = 0.515, C = 1208.3793384516773, a = 24.58026991767663, m = 1999.0, p = 999.0, r = 11.515750084123916, D = -inf
i = 0.52, C = 1220.1111766890722, a = 24.699303397961167, m = 1999.0, p = 999.0, r = 11.627553482998906, D = -inf
i = 0.525, C = 1231.843014926467, a = 24.817765964389977, m = 1999.0, p = 999.0, r = 11.739356881873894, D = -inf
i = 0.53, C = 1243.5748531638621, a = 24.93566575373377, m = 1999.0, p = 999.0, r = 11.851160280748884, D = -inf
i = 0.535, C = 1255.306691401257, a = 25.053010711302313, m = 1999.0, p = 999.0, r = 11.962963679623876, D = -inf
i = 0.54, C = 1267.0385296386519, a = 25.169808597192905, m = 1999.0, p = 999.0, r = 12.074767078498864, D = -inf
i = 0.545, C = 1278.770367876047, a = 25.28606699227904, m = 1999.0, p = 999.0, r = 12.186570477373854, D = -inf
i = 0.55, C = 1290.5022061134418, a = 25.4017933039524, m = 1999.0, p = 999.0, r = 12.298373876248844, D = -inf
i = 0.555, C = 1302.2340443508367, a = 25.5169947716305, m = 1999.0, p = 999.0, r = 12.410177275123832, D = -inf
i = 0.56, C = 1313.9658825882318, a = 25.631678472041504, m = 1999.0, p = 999.0, r = 12.521980673998822, D = -inf
i = 0.5650000000000001, C = 1325.6977208256267, a = 25.74585132429715, m = 1999.0, p = 999.0, r = 12.633784072873814, D = -inf
i = 0.5700000000000001, C = 1337.4295590630215, a = 25.859520094764147, m = 1999.0, p = 999.0, r = 12.745587471748802, D = -inf
i = 0.5750000000000001, C = 1349.1613973004164, a = 25.972691401743642, m = 1999.0, p = 999.0, r = 12.857390870623792, D = -inf
