F = 1e-07; Nimp = 10; Range: [1, 10] EN0 = None
i = 4.554999999999994, C = 326.0893010350366, a = 12.768893864290607, m = 19.0, p = 9.0, r = 10.185289637511529, D = 0.0010853045652251475, EN0 = None
i = 4.599999999999994, C = 329.31081992561326, a = 12.831812419249536, m = 19.0, p = 9.0, r = 10.28591269649902, D = 0.0012773818950528467, EN0 = None
i = 4.644999999999994, C = 332.5323388161899, a = 12.894423965733985, m = 19.0, p = 9.0, r = 10.386535755486511, D = 0.0015025573523740952, EN0 = None
i = 4.689999999999994, C = 335.75385770676655, a = 12.956732954467467, m = 19.0, p = 9.0, r = 10.487158814474002, D = 0.0017662110713145864, EN0 = None
i = 4.734999999999994, C = 338.9753765973432, a = 13.018743729664227, m = 19.0, p = 9.0, r = 10.587781873461491, D = 0.0020745134873185462, EN0 = None
i = 4.779999999999994, C = 342.1968954879199, a = 13.080460532563826, m = 19.0, p = 9.0, r = 10.68840493244898, D = 0.002434522000868594, EN0 = None
i = 4.824999999999994, C = 345.41841437849655, a = 13.141887504816356, m = 19.0, p = 9.0, r = 10.789027991436472, D = 0.0028542852744841063, EN0 = None
i = 4.869999999999994, C = 348.6399332690732, a = 13.203028691725873, m = 19.0, p = 9.0, r = 10.889651050423963, D = 0.0033429548584902502, EN0 = None
i = 4.914999999999994, C = 351.86145215964984, a = 13.263888045359284, m = 19.0, p = 9.0, r = 10.990274109411452, D = 0.003910903591577844, EN0 = None
i = 4.959999999999994, C = 355.0829710502265, a = 13.324469427527433, m = 19.0, p = 9.0, r = 11.090897168398943, D = 0.004569849927247231, EN0 = None
i = 5.004999999999994, C = 358.30448994080314, a = 13.384776612644739, m = 19.0, p = 9.0, r = 11.191520227386434, D = 0.005332986995042816, EN0 = None
i = 5.049999999999994, C = 361.5260088313798, a = 13.44481329047339, m = 19.0, p = 9.0, r = 11.292143286373925, D = 0.006215114817237508, EN0 = None
i = 5.0949999999999935, C = 364.74752772195643, a = 13.50458306875774, m = 19.0, p = 9.0, r = 11.392766345361414, D = 0.007232773666462007, EN0 = None
i = 5.1399999999999935, C = 367.9690466125331, a = 13.564089475754226, m = 19.0, p = 9.0, r = 11.493389404348903, D = 0.008404376074943421, EN0 = None
i = 5.184999999999993, C = 371.1905655031097, a = 13.62333596266182, m = 19.0, p = 9.0, r = 11.594012463336396, D = 0.009750334494971225, EN0 = None
i = 5.229999999999993, C = 374.41208439368637, a = 13.682325905957773, m = 19.0, p = 9.0, r = 11.694635522323885, D = 0.011293181073519572, EN0 = None
i = 5.274999999999993, C = 377.633603284263, a = 13.741062609643095, m = 19.0, p = 9.0, r = 11.795258581311376, D = 0.013057675456028749, EN0 = None
i = 5.319999999999993, C = 380.85512217483966, a = 13.79954930740203, m = 19.0, p = 9.0, r = 11.895881640298866, D = 0.015070895987504357, EN0 = None
i = 5.364999999999993, C = 384.0766410654163, a = 13.857789164679486, m = 19.0, p = 9.0, r = 11.996504699286355, D = 0.017362309158362718, EN0 = None
i = 5.409999999999993, C = 387.29815995599296, a = 13.915785280680227, m = 19.0, p = 9.0, r = 12.097127758273848, D = 0.01996381166743292, EN0 = None
i = 5.454999999999993, C = 390.5196788465696, a = 13.97354069029338, m = 19.0, p = 9.0, r = 12.197750817261337, D = 0.022909739074296522, EN0 = None
i = 5.499999999999993, C = 393.7411977371463, a = 14.031058365945642, m = 19.0, p = 9.0, r = 12.298373876248828, D = 0.026236834718530406, EN0 = None
i = 5.544999999999993, C = 396.96271662772295, a = 14.088341219386386, m = 19.0, p = 9.0, r = 12.398996935236317, D = 0.029984172424700313, EN0 = None
