F = 1e-07; Nimp = 2; Range: [17.0, 20.0]
i = 17.0, C = 650.0732020146365, a = 18.02877147803805, m = 3.0, p = 1.0, r = 17.0, D = 0.08161205466606045
i = 17.03, C = 651.2203900181918, a = 18.044672205642748, m = 3.0, p = 1.0, r = 17.03, D = 0.08465098846393086
i = 17.060000000000002, C = 652.367578021747, a = 18.060558934066062, m = 3.0, p = 1.0, r = 17.060000000000002, D = 0.08777720663602653
i = 17.090000000000003, C = 653.5147660253024, a = 18.076431700218137, m = 3.0, p = 1.0, r = 17.090000000000003, D = 0.09099202139189208
i = 17.120000000000005, C = 654.6619540288576, a = 18.09229054084719, m = 3.0, p = 1.0, r = 17.120000000000005, D = 0.09429671126105861
i = 17.150000000000006, C = 655.809142032413, a = 18.10813549254054, m = 3.0, p = 1.0, r = 17.150000000000006, D = 0.09769251836907493
i = 17.180000000000007, C = 656.9563300359682, a = 18.12396659172556, m = 3.0, p = 1.0, r = 17.180000000000007, D = 0.1011806456838705
i = 17.210000000000008, C = 658.1035180395235, a = 18.139783874670663, m = 3.0, p = 1.0, r = 17.210000000000008, D = 0.10476225423806639
i = 17.24000000000001, C = 659.2507060430788, a = 18.155587377486288, m = 3.0, p = 1.0, r = 17.24000000000001, D = 0.10843846033148931
i = 17.27000000000001, C = 660.3978940466341, a = 18.17137713612584, m = 3.0, p = 1.0, r = 17.27000000000001, D = 0.11221033272003014
i = 17.30000000000001, C = 661.5450820501893, a = 18.187153186386666, m = 3.0, p = 1.0, r = 17.30000000000001, D = 0.11607888979584305
i = 17.330000000000013, C = 662.6922700537447, a = 18.202915563910974, m = 3.0, p = 1.0, r = 17.330000000000013, D = 0.12004509676539733
i = 17.360000000000014, C = 663.8394580572999, a = 18.21866430418679, m = 3.0, p = 1.0, r = 17.360000000000014, D = 0.1241098628307424
i = 17.390000000000015, C = 664.9866460608552, a = 18.2343994425489, m = 3.0, p = 1.0, r = 17.390000000000015, D = 0.12827403838063278
i = 17.420000000000016, C = 666.1338340644105, a = 18.250121014179747, m = 3.0, p = 1.0, r = 17.420000000000016, D = 0.13253841219772633
i = 17.450000000000017, C = 667.2810220679658, a = 18.26582905411038, m = 3.0, p = 1.0, r = 17.450000000000017, D = 0.13690370868861082
i = 17.480000000000018, C = 668.428210071521, a = 18.281523597221334, m = 3.0, p = 1.0, r = 17.480000000000018, D = 0.1413705851432203
i = 17.51000000000002, C = 669.5753980750764, a = 18.297204678243563, m = 3.0, p = 1.0, r = 17.51000000000002, D = 0.14593962903061386
i = 17.54000000000002, C = 670.7225860786316, a = 18.312872331759312, m = 3.0, p = 1.0, r = 17.54000000000002, D = 0.15061135533805547
i = 17.57000000000002, C = 671.869774082187, a = 18.328526592203026, m = 3.0, p = 1.0, r = 17.57000000000002, D = 0.15538620396059677
i = 17.600000000000023, C = 673.0169620857422, a = 18.344167493862212, m = 3.0, p = 1.0, r = 17.600000000000023, D = 0.1602645371483353
i = 17.630000000000024, C = 674.1641500892974, a = 18.359795070878345, m = 3.0, p = 1.0, r = 17.630000000000024, D = 0.1652466370183555
i = 17.660000000000025, C = 675.3113380928528, a = 18.3754093572477, m = 3.0, p = 1.0, r = 17.660000000000025, D = 0.17033270313917384
i = 17.690000000000026, C = 676.458526096408, a = 18.391010386822252, m = 3.0, p = 1.0, r = 17.690000000000026, D = 0.17552285019438751
i = 17.720000000000027, C = 677.6057140999633, a = 18.406598193310508, m = 3.0, p = 1.0, r = 17.720000000000027, D = 0.18081710573346454
i = 17.75000000000003, C = 678.7529021035186, a = 18.42217281027836, m = 3.0, p = 1.0, r = 17.75000000000003, D = 0.186215408016545
i = 17.78000000000003, C = 679.9000901070739, a = 18.43773427114994, m = 3.0, p = 1.0, r = 17.78000000000003, D = 0.19171760396078685
i = 17.81000000000003, C = 681.0472781106291, a = 18.453282609208436, m = 3.0, p = 1.0, r = 17.81000000000003, D = 0.19732344719524436
i = 17.840000000000032, C = 682.1944661141845, a = 18.468817857596957, m = 3.0, p = 1.0, r = 17.840000000000032, D = 0.20303259623168993
i = 17.870000000000033, C = 683.3416541177397, a = 18.48434004931931, m = 3.0, p = 1.0, r = 17.870000000000033, D = 0.20884461275804803
i = 17.900000000000034, C = 684.4888421212951, a = 18.499849217240868, m = 3.0, p = 1.0, r = 17.900000000000034, D = 0.21475896006169828
i = 17.930000000000035, C = 685.6360301248503, a = 18.515345394089334, m = 3.0, p = 1.0, r = 17.930000000000035, D = 0.22077500158876112
i = 17.960000000000036, C = 686.7832181284056, a = 18.53082861245559, m = 3.0, p = 1.0, r = 17.960000000000036, D = 0.2268919996465488
i = 17.990000000000038, C = 687.9304061319609, a = 18.54629890479447, m = 3.0, p = 1.0, r = 17.990000000000038, D = 0.23310911425499237
i = 18.02000000000004, C = 689.0775941355162, a = 18.561756303425547, m = 3.0, p = 1.0, r = 18.02000000000004, D = 0.239425402153245
i = 18.05000000000004, C = 690.2247821390714, a = 18.577200840533962, m = 3.0, p = 1.0, r = 18.05000000000004, D = 0.24583981596725782
i = 18.08000000000004, C = 691.3719701426268, a = 18.592632548171153, m = 3.0, p = 1.0, r = 18.08000000000004, D = 0.25235120354378054
i = 18.110000000000042, C = 692.519158146182, a = 18.60805145825567, m = 3.0, p = 1.0, r = 18.110000000000042, D = 0.2589583074559225
i = 18.140000000000043, C = 693.6663461497373, a = 18.62345760257393, m = 3.0, p = 1.0, r = 18.140000000000043, D = 0.2656597646851911
i = 18.170000000000044, C = 694.8135341532926, a = 18.63885101278097, m = 3.0, p = 1.0, r = 18.170000000000044, D = 0.27245410648444174
