F = 1e-07; Nimp = 2; Range: [1, 10] EN0 = 11.560000000000018
i = 1.0, C = 38.23960011850803, a = 4.372619359063171, m = 3.0, p = 1.0, r = 4.808326112068527, D = 0.8018820632720647, EN0 = 11.560000000000018
i = 1.09, C = 41.68116412917376, a = 4.565148635541551, m = 3.0, p = 1.0, r = 4.808326112068527, D = 0.7160488030846491, EN0 = 11.560000000000018
i = 1.1800000000000002, C = 45.12272813983948, a = 4.7498804269075805, m = 3.0, p = 1.0, r = 4.808326112068527, D = 0.619972499182575, EN0 = 11.560000000000018
i = 1.2700000000000002, C = 48.56429215050521, a = 4.927691759358798, m = 3.0, p = 1.0, r = 4.808326112068527, D = 0.5198773651454336, EN0 = 11.560000000000018
i = 1.3600000000000003, C = 52.00585616117093, a = 5.099306627433329, m = 3.0, p = 1.0, r = 4.808326112068527, D = 0.4220603723089897, EN0 = 11.560000000000018
i = 1.4500000000000004, C = 55.44742017183666, a = 5.265330956921733, m = 3.0, p = 1.0, r = 4.808326112068527, D = 0.33181497096791646, EN0 = 11.560000000000018
i = 1.5400000000000005, C = 58.888984182502384, a = 5.426277922411567, m = 3.0, p = 1.0, r = 4.808326112068527, D = 0.2527817474626709, EN0 = 11.560000000000018
i = 1.6300000000000006, C = 62.33054819316811, a = 5.582586685093574, m = 3.0, p = 1.0, r = 4.808326112068527, D = 0.18677580204565106, EN0 = 11.560000000000018
i = 1.7200000000000006, C = 65.77211220383384, a = 5.734636527445913, m = 3.0, p = 1.0, r = 4.808326112068527, D = 0.13399467104737905, EN0 = 11.560000000000018
i = 1.8100000000000007, C = 69.21367621449956, a = 5.882757695779232, m = 3.0, p = 1.0, r = 4.808326112068527, D = 0.09344374770497316, EN0 = 11.560000000000018
i = 1.9000000000000008, C = 72.65524022516529, a = 6.027239841966026, m = 3.0, p = 1.0, r = 4.808326112068527, D = 0.063420044895987, EN0 = 11.560000000000018
i = 1.9900000000000009, C = 76.09680423583102, a = 6.1683386837880025, m = 3.0, p = 1.0, r = 4.808326112068527, D = 0.04194041692823975, EN0 = 11.560000000000018
i = 2.080000000000001, C = 79.53836824649674, a = 6.306281322875501, m = 3.0, p = 1.0, r = 4.808326112068527, D = 0.02705662915720653, EN0 = 11.560000000000018
i = 2.170000000000001, C = 82.97993225716246, a = 6.441270536825885, m = 3.0, p = 1.0, r = 4.808326112068527, D = 0.017046550481654696, EN0 = 11.560000000000018
i = 2.260000000000001, C = 86.42149626782819, a = 6.573488277460765, m = 3.0, p = 1.0, r = 4.808326112068527, D = 0.01049994425648798, EN0 = 11.560000000000018
i = 2.3500000000000014, C = 89.86306027849392, a = 6.703098547630563, m = 3.0, p = 1.0, r = 4.808326112068527, D = 0.006329476130538389, EN0 = 11.560000000000018
i = 2.4400000000000013, C = 93.30462428915965, a = 6.83024978639726, m = 3.0, p = 1.0, r = 4.808326112068527, D = 0.0037376415516372865, EN0 = 11.560000000000018
i = 2.530000000000001, C = 96.74618829982536, a = 6.95507686153882, m = 3.0, p = 1.0, r = 4.808326112068527, D = 0.0021640725142700644, EN0 = 11.560000000000018
i = 2.6200000000000014, C = 100.18775231049109, a = 7.077702745612134, m = 3.0, p = 1.0, r = 4.808326112068527, D = 0.001229595901446018, EN0 = 11.560000000000018
