F = 1e-07; Nimp = 6; Range: [5.0, 11.0]
i = 5.0, C = 282.1683061533718, a = 11.877885042240724, m = 11.0, p = 5.0, r = 8.660254037844386, D = 1.5337923188331586e-05
i = 5.06, C = 285.55432582721227, a = 11.948939823834001, m = 11.0, p = 5.0, r = 8.764177086298517, D = 1.8516500084628327e-05
i = 5.119999999999999, C = 288.94034550105266, a = 12.019574566120314, m = 11.0, p = 5.0, r = 8.868100134752648, D = 2.2377655175340216e-05
i = 5.179999999999999, C = 292.3263651748931, a = 12.08979663135185, m = 11.0, p = 5.0, r = 8.972023183206781, D = 2.7069175535935025e-05
i = 5.239999999999998, C = 295.71238484873356, a = 12.159613169191147, m = 11.0, p = 5.0, r = 9.075946231660913, D = 3.2770485291774864e-05
i = 5.299999999999998, C = 299.098404522574, a = 12.229031125207221, m = 11.0, p = 5.0, r = 9.179869280115044, D = 3.969921086827095e-05
i = 5.359999999999998, C = 302.48442419641447, a = 12.298057248940063, m = 11.0, p = 5.0, r = 9.283792328569177, D = 4.811903520439447e-05
i = 5.419999999999997, C = 305.87044387025486, a = 12.366698101559988, m = 11.0, p = 5.0, r = 9.387715377023309, D = 5.8349071673915467e-05
i = 5.479999999999997, C = 309.2564635440953, a = 12.43496006314647, m = 11.0, p = 5.0, r = 9.491638425477442, D = 7.077502341984947e-05
i = 5.5399999999999965, C = 312.64248321793576, a = 12.502849339609266, m = 11.0, p = 5.0, r = 9.595561473931573, D = 8.586243261592255e-05
i = 5.599999999999996, C = 316.0285028917762, a = 12.570371969273149, m = 11.0, p = 5.0, r = 9.699484522385704, D = 0.00010417236621465244
i = 5.659999999999996, C = 319.41452256561666, a = 12.637533829145951, m = 11.0, p = 5.0, r = 9.803407570839838, D = 0.00012637993022896176
i = 5.719999999999995, C = 322.80054223945706, a = 12.704340640888393, m = 11.0, p = 5.0, r = 9.907330619293969, D = 0.0001532960528962052
i = 5.779999999999995, C = 326.1865619132975, a = 12.770797976502829, m = 11.0, p = 5.0, r = 10.0112536677481, D = 0.00018589302733870516
i = 5.8399999999999945, C = 329.57258158713796, a = 12.836911263756908, m = 11.0, p = 5.0, r = 10.115176716202232, D = 0.00022533435538567797
i = 5.899999999999994, C = 332.9586012609784, a = 12.902685791357131, m = 11.0, p = 5.0, r = 10.219099764656365, D = 0.00027300948522292846
i = 5.959999999999994, C = 336.34462093481886, a = 12.968126713886221, m = 11.0, p = 5.0, r = 10.323022813110496, D = 0.00033057408331014723
i = 6.019999999999993, C = 339.73064060865926, a = 13.033239056517363, m = 11.0, p = 5.0, r = 10.426945861564628, D = 0.0003999965247665381
i = 6.079999999999993, C = 343.1166602824997, a = 13.09802771951754, m = 11.0, p = 5.0, r = 10.53086891001876, D = 0.00048361132108777914
i = 6.139999999999993, C = 346.50267995634016, a = 13.162497482551329, m = 11.0, p = 5.0, r = 10.634791958472892, D = 0.0005841802279119639
i = 6.199999999999992, C = 349.8886996301806, a = 13.226653008795925, m = 11.0, p = 5.0, r = 10.738715006927025, D = 0.0007049617824863477
i = 6.259999999999992, C = 353.274719304021, a = 13.290498848877363, m = 11.0, p = 5.0, r = 10.842638055381155, D = 0.0008497900065660679
i = 6.319999999999991, C = 356.66073897786146, a = 13.354039444637369, m = 11.0, p = 5.0, r = 10.946561103835288, D = 0.001023162968978487
i = 6.379999999999991, C = 360.0467586517019, a = 13.417279132739655, m = 11.0, p = 5.0, r = 11.05048415228942, D = 0.0012303418272469149
i = 6.439999999999991, C = 363.43277832554236, a = 13.48022214812394, m = 11.0, p = 5.0, r = 11.154407200743552, D = 0.0014774608517237025
i = 6.49999999999999, C = 366.8187979993828, a = 13.542872627315498, m = 11.0, p = 5.0, r = 11.258330249197684, D = 0.001771648771838913
i = 6.55999999999999, C = 370.2048176732232, a = 13.605234611597538, m = 11.0, p = 5.0, r = 11.362253297651817, D = 0.002121161564514858
i = 6.6199999999999894, C = 373.59083734706365, a = 13.667312050053289, m = 11.0, p = 5.0, r = 11.466176346105946, D = 0.0025355265214656634
i = 6.679999999999989, C = 376.9768570209041, a = 13.729108802484307, m = 11.0, p = 5.0, r = 11.57009939456008, D = 0.0030256970801660916
i = 6.739999999999989, C = 380.36287669474456, a = 13.790628642211068, m = 11.0, p = 5.0, r = 11.674022443014211, D = 0.0036042174738422452
i = 6.799999999999988, C = 383.748896368585, a = 13.851875258761627, m = 11.0, p = 5.0, r = 11.777945491468344, D = 0.00428539574868354
i = 6.859999999999988, C = 387.1349160424254, a = 13.912852260453738, m = 11.0, p = 5.0, r = 11.881868539922475, D = 0.005085483106342607
i = 6.9199999999999875, C = 390.52093571626585, a = 13.973563176875572, m = 11.0, p = 5.0, r = 11.985791588376609, D = 0.0060228568611431854
i = 6.979999999999987, C = 393.9069553901063, a = 14.034011461269838, m = 11.0, p = 5.0, r = 12.08971463683074, D = 0.007118203557462338
i = 7.039999999999987, C = 397.29297506394676, a = 14.094200492825884, m = 11.0, p = 5.0, r = 12.193637685284873, D = 0.008394697985242736
